index,o_place,d_place,year,month,day,cnt,o_lat,o_lon,d_lat,d_lon
196,37119,37025,2020,1,1,33,35.227,-80.827,35.41,-80.612
239,39123,39123,2020,1,1,7,41.529,-83.114,41.529,-83.114
462,13277,13277,2020,1,1,12,31.452,-83.508,31.462,-83.514
538,48201,48347,2020,1,1,4,29.795,-95.374,31.614,-94.649
1353,22087,53033,2020,1,1,1,29.983,-90.011,47.443,-122.296
1496,45055,45055,2020,1,1,13,34.227,-80.678,34.225,-80.686
1550,17019,17201,2020,1,1,1,40.111,-88.207,42.271,-89.094
1816,53053,53037,2020,1,1,12,47.159,-122.42,47.249,-120.853
2097,34039,34027,2020,1,1,6,40.648,-74.295,40.825,-74.441
2211,55085,55085,2020,1,1,2,45.642,-89.424,45.642,-89.424
2376,19163,17041,2020,1,1,1,41.558,-90.469,39.824,-88.328
2388,37051,37155,2020,1,1,1,35.055,-79.002,34.903,-79.01
2432,39035,01073,2020,1,1,2,41.424,-81.776,33.517,-86.79
3150,36061,36045,2020,1,1,1,40.781,-73.969,44.042,-75.765
3192,22019,13319,2020,1,1,1,30.238,-92.997,32.678,-83.174
3550,55079,55129,2020,1,1,1,42.96,-87.873,46.099,-91.831
3721,48491,22019,2020,1,1,1,30.658,-97.684,30.203,-93.198
4606,22121,22087,2020,1,1,1,30.47,-91.229,29.983,-90.011
4650,01109,01081,2020,1,1,1,31.807,-85.974,32.647,-85.389
4878,06081,17031,2020,1,1,1,37.679,-122.453,41.834,-87.732
5020,34031,36005,2020,1,1,1,40.915,-74.168,40.85,-73.849
5396,27123,27049,2020,1,1,1,45.077,-93.187,44.566,-92.537
5398,18093,18093,2020,1,1,3,38.773,-86.479,38.773,-86.479
5575,27007,27007,2020,1,1,5,47.486,-94.885,47.486,-94.885
5724,27079,27019,2020,1,1,1,44.382,-93.868,44.816,-93.604
6045,08043,08043,2020,1,1,6,38.408,-105.173,38.408,-105.173
6279,21111,21211,2020,1,1,1,38.108,-85.583,38.2,-85.217
7880,48153,06037,2020,1,1,1,34.031,-101.376,34.013,-118.41
7941,21117,21117,2020,1,1,87,39.011,-84.541,39.009,-84.545
